Bound type, bound value, parameter (k/m)
hudson_overlap,16,
RecMin,23,
RecMinRobust,15,
hudson_nonoverlap,9,
robust_hudson,5,2
robust_hudson,4,3
robust_hudson,3,4
adversarial_hudson,16,0
adversarial_hudson,14,1
adversarial_hudson,12,2
adversarial_hudson,11,3
adversarial_hudson,9,4
adversarial_hudson,8,5
